watchlist_id	user_id	tmdb_id	tmdb_name	poster_url	added_at
78	2	8	Space Detectives	http://dummyimage.com/172x100.png/ff4444/ffffff	2025-09-13 00:00:00
79	1	8	The Galactic Adventures of Zorblax	http://dummyimage.com/162x100.png/dddddd/000000	2025-06-21 00:00:00
80	6	4	Undercover Unicorn	http://dummyimage.com/109x100.png/cc0000/ffffff	2025-12-17 00:00:00
81	15	4	The Galactic Adventures of Zorblax	http://dummyimage.com/108x100.png/5fa2dd/ffffff	2025-10-19 00:00:00
82	20	6	Undercover Unicorn	http://dummyimage.com/233x100.png/ff4444/ffffff	2025-09-13 00:00:00
83	6	6	Space Detectives	http://dummyimage.com/186x100.png/dddddd/000000	2025-06-12 00:00:00
84	3	7	Space Detectives	http://dummyimage.com/205x100.png/dddddd/000000	2025-06-12 00:00:00
85	9	2	The Galactic Adventures of Zorblax	http://dummyimage.com/202x100.png/cc0000/ffffff	2025-03-08 00:00:00
86	14	8	Space Detectives	http://dummyimage.com/184x100.png/cc0000/ffffff	2025-06-09 00:00:00
87	12	9	The Time Traveling Chef	http://dummyimage.com/218x100.png/5fa2dd/ffffff	2025-03-11 00:00:00
88	3	3	The Galactic Adventures of Zorblax	http://dummyimage.com/111x100.png/dddddd/000000	2025-12-11 00:00:00
89	13	1	Space Detectives	http://dummyimage.com/242x100.png/cc0000/ffffff	2025-02-14 00:00:00
90	4	1	The Galactic Adventures of Zorblax	http://dummyimage.com/102x100.png/dddddd/000000	2025-01-17 00:00:00
91	6	10	The Galactic Adventures of Zorblax	http://dummyimage.com/158x100.png/cc0000/ffffff	2025-07-02 00:00:00
92	18	10	The Time Traveling Chef	http://dummyimage.com/179x100.png/ff4444/ffffff	2026-01-28 00:00:00
93	17	4	Mystery Mansion	http://dummyimage.com/228x100.png/dddddd/000000	2025-08-16 00:00:00
94	11	3	Undercover Unicorn	http://dummyimage.com/181x100.png/cc0000/ffffff	2025-05-27 00:00:00
95	11	5	Space Detectives	http://dummyimage.com/217x100.png/ff4444/ffffff	2025-06-21 00:00:00
96	6	9	Undercover Unicorn	http://dummyimage.com/110x100.png/cc0000/ffffff	2025-02-03 00:00:00
97	16	7	The Time Traveling Chef	http://dummyimage.com/108x100.png/cc0000/ffffff	2025-05-18 00:00:00
98	8	3	Mystery Mansion	http://dummyimage.com/193x100.png/dddddd/000000	2025-10-19 00:00:00
99	18	9	The Galactic Adventures of Zorblax	http://dummyimage.com/147x100.png/dddddd/000000	2025-06-14 00:00:00
100	16	8	Space Detectives	http://dummyimage.com/153x100.png/dddddd/000000	2025-01-05 00:00:00
